Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-JUN-2025,26385.6,26576.9,26306.85,26554.75,82266000,8073.59
13-JUN-2025,26132.1,26406.15,26132.1,26335.6,88531029,9352.65
12-JUN-2025,26796.3,26889.35,26524.45,26579.9,87714527,9582.77
11-JUN-2025,26872.2,26930.4,26761.95,26789.95,73073966,7807.21
10-JUN-2025,27082.8,27083.5,26811.5,26867.05,88424041,10414.88
09-JUN-2025,27079.85,27086.7,26938.4,26992.85,126574976,14315.38
06-JUN-2025,26360,26922.2,26285.55,26848.9,160721430,19242.03
05-JUN-2025,26329.35,26508.1,26229.8,26387.15,88685423,10456.53
04-JUN-2025,26254.05,26322.75,26191.15,26264.55,74934861,7865.73
03-JUN-2025,26507.05,26566.4,26207.65,26254.95,93604182,11133.67
02-JUN-2025,26386.1,26491,26226.5,26448.4,89712263,9283.96
30-MAY-2025,26501.1,26552.3,26399.6,26499.25,135308753,15901.8
29-MAY-2025,26509.05,26601.3,26288.45,26478.45,100565584,11421.16
28-MAY-2025,26432.7,26523.9,26386.7,26451.85,90571450,7887.32
27-MAY-2025,26519.9,26669.15,26292.45,26420.8,101105529,10626.96
26-MAY-2025,26550.4,26724.75,26476.15,26591.9,54212141,5699.2
23-MAY-2025,26241.95,26510.9,26188.75,26485.4,62225037,5878.88
22-MAY-2025,26270.3,26297.5,26070.95,26225.95,84681454,8670.22
21-MAY-2025,26283.25,26472.2,26176.75,26339.65,84746152,7951.2
20-MAY-2025,26504.05,26558.95,26172.35,26193.85,98841534,10769.55
19-MAY-2025,26455.1,26610.4,26452.2,26507.8,72815801,7199.81
16-MAY-2025,26486.75,26518.35,26425.95,26474.6,97624855,9052.51
15-MAY-2025,26169.4,26550.95,25966.15,26482.8,132268367,14991.55
14-MAY-2025,26218.95,26326.55,26013.7,26145.55,116087324,9495.57
13-MAY-2025,26409.1,26543.3,26177.15,26206,103606652,11284.06
12-MAY-2025,25988,26530.3,25956.75,26497.6,100841501,9976.64
09-MAY-2025,25608.55,25811.25,25453.8,25502.1,112057612,10549.11
08-MAY-2025,26239.85,26277,25849.15,25980.65,120694142,13792.26
07-MAY-2025,25855.75,26196.9,25795.85,26165.65,95597438,10179.63
06-MAY-2025,26148.3,26198,25925.1,25969,88407553,9133.1
05-MAY-2025,26172.7,26287.3,26089.2,26164.9,93233426,10261.5
02-MAY-2025,26121.65,26354.85,26067.55,26151.75,104375413,11863.84
30-APR-2025,26162.05,26247.75,25943.7,26113.55,145366601,17055.81
29-APR-2025,26313.5,26447.2,26133.85,26193.85,90355376,10164.94
28-APR-2025,25990,26346.9,25961.65,26291.65,120221911,11850.21
25-APR-2025,26354.7,26430.25,25789.85,26036.1,144687001,14223.84
24-APR-2025,26378.9,26473.95,26266,26305.65,107019522,12904.93
23-APR-2025,26819.1,26819.1,26346.25,26446.2,129052731,13147.53
22-APR-2025,26519.15,26726.35,26459.25,26624.8,144340346,16420.29
21-APR-2025,26341.8,26527.7,26224.65,26435.1,147713223,15660.83
17-APR-2025,25509.65,26116.4,25470.85,26071.6,148289851,15732.24
16-APR-2025,25401.7,25514.4,25287.6,25492.1,122132029,11437.75
15-APR-2025,25215.85,25333.05,25035.6,25280.65,131963884,14581.77
11-APR-2025,24319.2,24698.6,24319.2,24555.55,119084140,12519.79
09-APR-2025,24297.35,24301.35,23991.35,24132.65,108130401,11269.15
08-APR-2025,24143.75,24403.45,24044,24301.5,135686266,13504.08
07-APR-2025,23767.25,24216.4,23546.5,23908.45,161403783,15405.16
04-APR-2025,24792.15,24942.55,24718.75,24774.3,99793583,10925
03-APR-2025,24550.95,24795.85,24548.6,24724.95,65577011,6727.86
02-APR-2025,24582.45,24772.1,24577.3,24750.05,71643598,6611.5
01-APR-2025,24855.7,24998.05,24516.4,24529.4,98810050,10597.26
28-MAR-2025,25034.05,25199.05,24937.35,25074.9,104386075,9988.69
27-MAR-2025,24775.05,25101.05,24764.3,25011.15,113791180,15926.54
26-MAR-2025,25114.45,25151.35,24769.45,24829.6,75954477,9516.12
25-MAR-2025,25158.65,25297.35,25006.45,25086,116757030,15252.75
24-MAR-2025,24759.7,25101.3,24673.15,25057.55,90875475,11383.82
21-MAR-2025,24316.7,24604.4,24294.55,24567.95,157362415,22746.9
20-MAR-2025,24263.45,24352.45,24131,24309,70206106,8611.3
19-MAR-2025,23994,24199.35,23968.45,24140.35,76648956,9428.38
18-MAR-2025,23744.65,24008.2,23678.25,23969.7,82362395,10493.77
17-MAR-2025,23313.65,23567.7,23305.45,23529.25,70394302,9323.48
